"ID","lugar_emplazamiento_propiedad","denominacion","espacio_de_memoria","ubicacion","lon","lat"
928,"POLICÍA PROVINCIAL","COMISARÍA DE BELLA VISTA",FALSE,"ALBERDI 344 · BELLA VISTA · LEALES · TUCUMÁN",-65.304137,-27.0331404
930,"POLICÍA PROVINCIAL","COMISARÍA DE CONCEPCIÓN",FALSE,"9 DE JULIO 40 · CONCEPCIÓN · CHICLIGASTA · TUCUMÁN",-65.5921761,-27.3459546
933,"POLICÍA PROVINCIAL","COMISARÍA DE INGENIO SAN JUAN",FALSE,"BANDA DEL RÍO SALÍ · CRUZ ALTA · TUCUMÁN",-65.1654205,-26.8341103
934,"POLICÍA PROVINCIAL","COMISARÍA DE LEÓN ROUGES",FALSE,"Ruta Nac. Nº 38 · LOS ROJO (LEÓN ROUGES) · MONTEROS · TUCUMÁN",-64.4877512,-31.0944275
937,"POLICÍA PROVINCIAL","COMISARÍA DE LULES",FALSE,"L. NOUGUÉS y SAN MARTÍN · LULES · TUCUMÁN",-65.1864963,-26.807468
938,"POLICÍA PROVINCIAL","COMISARÍA DE RANCHILLOS",FALSE,"Calle s/nombre · RANCHILLOS · CRUZ ALTA · TUCUMÁN",-65.0470414,-26.9556963
939,"POLICÍA PROVINCIAL","COMISARÍA DE RÍO COLORADO",FALSE,"ALBERDI e ITUZAINGÓ · RÍO COLORADO · LEALES · TUCUMÁN",-58.6753978,-34.6570243
942,"POLICÍA PROVINCIAL","COMISARÍA DE SAN PABLO",FALSE,"SAN MARTÍN y 9 DE JULIO · INGENIO SAN PABLO · LULES · TUCUMÁN",-65.3152264,-26.8841164
944,"POLICÍA PROVINCIAL","COMISARÍA DE TAFÍ VIEJO",FALSE,"9 DE JULIO 197 · TAFÍ VIEJO · TUCUMÁN",-65.2570945,-26.7330253
948,"ESTABLECIMIENTO EDUCATIVO","ESCUELA ""GRAL. LAVALLE""",FALSE,"BARTOLOMÉ MITRE 293 · FAMAILLÁ · TUCUMÁN",-65.4017285,-27.0552808
970,"POLICÍA PROVINCIAL","JEFATURA DE POLICÍA DE LA PROVINCIA DE CÓRDOBA",FALSE,"INDEPENDENCIA 30 (Cabildo Histórico) · Centro · CÓRDOBA · CAPITAL · CÓRDOBA",-64.184309,-31.416273
971,"POLICÍA PROVINCIAL","DEPARTAMENTO DE INFORMACIONES DE LA POLICÍA DE CÓRDOBA (D-2) ""MARIANO MORENO""",FALSE,"MARIANO MORENO 222 (y CASEROS) · Paso de los Andes · CÓRDOBA · CAPITAL · CÓRDOBA",-64.1985736,-31.4145181
972,"POLICÍA PROVINCIAL","DEPARTAMENTO DE INFORMACIONES DE LA POLICÍA DE CÓRDOBA (D-2) ""VÉLEZ SARSFIELD""",FALSE,"Av. VÉLEZ SARSFIELD y ACHÁVAL RODRÍGUEZ · Güemes · CÓRDOBA · CAPITAL · CÓRDOBA",-64.1914333,-31.4245033
973,"POLICÍA PROVINCIAL","BRIGADA DE INVESTIGACIONES DE POSADAS",FALSE,"DR. RAMÓN MADARIAGA 1103 (y JUAN LANUSSE) · POSADAS · CAPITAL · MISIONES",-55.8896613,-27.3845907
980,"GENDARMERÍA NACIONAL","ESCUADRÓN 48 ""CORRIENTES"" DE GENDARMERÍA NACIONAL",FALSE,"SAN MARTÍN y PERÚ (o SAN LORENZO 760) · CORRIENTES · CAPITAL · CORRIENTES",-58.831741,-27.4664512
981,"EJÉRCITO","REGIMIENTO ""SANTA CATALINA""",FALSE,"departamento CAPITAL · CORRIENTES",-58.8306349,-27.4692131
982,"POLICÍA PROVINCIAL","COMISARÍA 13ª DE TUCUMÁN",FALSE,"Av. BENJAMÍN ARÁOZ 1095 (esq. Av. SILVANO BORES) · SAN MIGUEL DE TUCUMÁN · CAPITAL · TUCUMÁN",-65.181276,-26.8358469
983,"ESTABLECIMIENTO PRIVADO","FUNDACIÓN OTAMENDI",FALSE,"Ruta Nac. Nº 9 Km 68 _ Ruta PANAMERICANA · CAMPANA · BUENOS AIRES",-58.898638,-34.273545
984,"SERVICIO PENITENCIARIO PROVINCIAL","UNIDAD PENAL (EN CONSTRUCCIÓN)",FALSE,"Ruta Nac. Nº 188 Km 162 · JUNÍN · BUENOS AIRES",-60.5494678,-33.8935432
985,"POLICÍA PROVINCIAL","DESTACAMENTO ""MORSE""",FALSE,"Calle 9 entre 4 y 6 (actualmente DE LOS TILOS 119) · MORSE · JUNÍN · BUENOS AIRES",-60.843641,-34.7612892
987,"POLICÍA PROVINCIAL","SUBCOMISARÍA ""VILLA DÍAZ VÉLEZ""",FALSE,"Calle 8 Nº 4157 · Villa Díaz Vélez · NECOCHEA · BUENOS AIRES",-58.7288997,-38.5811553
988,"ESTABLECIMIENTO PRIVADO","QUINTA DE LOS MÉNDEZ",FALSE,"Circ. I, Secc. ""D"", Chacra 93, Manzana 93 · TANDIL · BUENOS AIRES",-59.1367167,-37.3287999
989,"EJÉRCITO (VIVIENDA)","CASA DE PIEDRA",FALSE,"LAVALLE 636 (entre CASTELLI y PINTO) · ZÁRATE · BUENOS AIRES",-59.0249178,-34.1024489
991,"EJÉRCITO","REGIMIENTO DE INFANTERÍA 4                                                                 UNIDAD DE COMANDO ÁREA 242",FALSE,"Av. AYACUCHO s/nº _ Sección Chacras · MONTE CASEROS · CORRIENTES",-57.6365555,-30.2531458
992,"EJÉRCITO","DESTACAMENTO DE INTELIGENCIA 123",FALSE,"ADOLFO MONTAÑA 1008 (y GRAL. MADARIAGA) · PASO DE LOS LIBRES · CORRIENTES",-57.0889788,-29.7106922
993,"POLICÍA PROVINCIAL","COMISARÍA DE BELLA VISTA",FALSE,"BELLA VISTA · CORRIENTES",-59.0422553,-28.5066193
994,"POLICÍA PROVINCIAL","COMISARÍA DE SANTA LUCÍA",FALSE,"SANTA LUCÍA · LAVALLE · CORRIENTES",-59.1009032,-28.9820202
995,"POLICÍA PROVINCIAL","ALCAIDÍA POLICIAL DE SANTO TOMÉ",FALSE,"Av. SAN MARTÍN 816 · SANTO TOMÉ · CORRIENTES",-56.03842,-28.5490781
996,"POLICÍA PROVINCIAL","COMISARÍA DE VIRASORO",FALSE,"Calle s/nombre ni nº · GDOR. AGR. VALENTÍN VIRASORO · SANTO TOMÉ · CORRIENTES",-56.0139884,-28.0543419
997,"EJÉRCITO","COMPAÑÍA DE TELECOMUNICACIONES 121                                                            UNIDAD DE COMANDO ÁREA 235",FALSE,"Av. SARMIENTO y Av. CAAGUAZÚ · GOYA · CORRIENTES",-59.2726669,-29.1543765
998,"EJÉRCITO","COMPAÑÍA DE INGENIEROS 7",FALSE,"Av. SARMIENTO y Av. CAAGUAZÚ · GOYA · CORRIENTES",-59.2726669,-29.1543765
999,"POLICÍA PROVINCIAL","COMISARÍA DE SIERRA GRANDE",FALSE,"SIERRA GRANDE · SAN ANTONIO · RÍO NEGRO",-65.3564268,-41.6061015
1000,"POLICÍA PROVINCIAL","ESCUELA DE CADETES DE POLICÍA",FALSE,"Ruta Prov. Nº 51 (camino al Aeropuerto) · VIEDMA · ADOLFO ALSINA · RÍO NEGRO",NA,NA
1001,"SIN ESTABLECER PROPIEDAD","LA ATÓMICA",FALSE,"EZEIZA (ex E. ECHEVERRÍA) · BUENOS AIRES",-58.5199121,-34.8514476
1002,"POLICÍA PROVINCIAL","DIRECCIÓN DE INVESTIGACIONES DE LA POLICÍA DEL CHACO",FALSE,"JUAN B. JUSTO 473 · RESISTENCIA · SAN FERNANDO · CHACO",-58.9831483,-27.4554429
1003,"EJÉRCITO","GRUPO DE ARTILLERÍA 7                                                                                                    UNIDAD DE COMANDO ÁREA 233",FALSE,"Av. 9 DE JULIO 3300 · RESISTENCIA · SAN FERNANDO · CHACO",-58.953507,-27.4807449
1004,"POLICÍA PROVINCIAL","JEFATURA DE POLICÍA DE LA PROVINCIA DEL CHACO",FALSE,"Av. 25 DE MAYO 1410 · RESISTENCIA · SAN FERNANDO · CHACO",-58.9989721,-27.43961
1005,"PARTICULAR (VIVIENDA O SIMILAR)","CASA SOBRE RÍO PARANÁ",FALSE,"Sobre la costa del río, a 1 km aprox. de Puente Gral. Belgrano · BARRANQUERAS · SAN FERNANDO · CHACO",-58.9298836,-27.4885091
1007,"HOSPITAL MILITAR ( EJÉRCITO)","HOSPITAL MILITAR ""PARANÁ""",FALSE,"Av. EJÉRCITO 2157 · PARANÁ · ENTRE RÍOS",-60.5367633,-31.7474812
1008,"HOSPITAL PÚBLICO","HOSPITAL ""DR. JULIO C. PERRANDO""",FALSE,"Av. 9 DE JULIO 1100 · RESISTENCIA · SAN FERNANDO · CHACO",-58.9769156,-27.4597908
1009,"HOSPITAL PÚBLICO","HOSPITAL PARA LA MADRE Y EL NIÑO",FALSE,"JUAN D. PERÓN 330 · RESISTENCIA · SAN FERNANDO · CHACO",-58.9907442,-27.4499277
1010,"FUERZA AÉREA","BASE AÉREA MILITAR ""CHAMICAL""",FALSE,"CHAMICAL · LA RIOJA",-66.3140926,-30.361165
1011,"EJÉRCITO","DESTACAMENTO DE INTELIGENCIA 141 ""GRAL. IRIBARREN""",FALSE,"Av. PABLO RICCHIERI _ Parque Sarmiento · CÓRDOBA · CAPITAL · CÓRDOBA",-64.1804649,-31.4299763
1012,"POLICÍA PROVINCIAL","COMISARÍA DE AIMOGASTA",FALSE,"AIMOGASTA · ARAUCO · LA RIOJA",-66.8151707,-28.5507672
1013,"GENDARMERÍA NACIONAL","ESCUADRÓN 24 ""CHILECITO"" DE GENDARMERÍA NACIONAL",FALSE,"LA PLATA 726 · CHILECITO · LA RIOJA",-67.5039107,-29.1603314
1014,"POLICÍA PROVINCIAL","COMISARÍA DE CHILECITO",FALSE,"CHILECITO · LA RIOJA",-67.4962016,-29.1611279
1015,"POLICÍA PROVINCIAL","COMISARÍA DE CAMPANAS",FALSE,"CAMPANAS · FAMATINA · LA RIOJA",-67.6259883,-28.5528196
1016,"POLICÍA PROVINCIAL","COMISARÍA DE VILLA UNIÓN",FALSE,"NICOLÁS DAVILA S/N (esq. JOAQUÍN V. GONZÁLEZ) · VILLA UNIÓN · CNEL. FELIPE VARELA · LA RIOJA",-68.2272303,-29.3180336
1017,"POLICÍA PROVINCIAL","COMISARÍA DE CHAMICAL",FALSE,"CHAMICAL · LA RIOJA",-66.3140926,-30.361165
1018,"POLICÍA PROVINCIAL","DESTACAMENTO POLICIAL DE SIERRA DE LOS QUINTEROS",FALSE,"SIERRA DE LOS QUINTEROS · GRAL. ÁNGEL V. PEÑALOZA · LA RIOJA",-66.442128,-30.6347797
1019,"ESTABLECIMIENTO EDUCATIVO","ESCUELA DE SIERRA DE LOS QUINTEROS",FALSE,"SIERRA DE LOS QUINTEROS · GRAL. ÁNGEL V. PEÑALOZA · LA RIOJA",-66.442128,-30.6347797
1020,"POLICÍA PROVINCIAL","COMISARÍA DE SAN BLAS",FALSE,"SAN BLAS · SAN BLAS DE LOS SAUCES · LA RIOJA",-67.0875864,-28.4047845
1022,"POLICÍA FEDERAL","DESTACAMENTO DE POLICÍA FEDERAL DE ACINDAR",FALSE,"Ruta Prov. Nº 21 4855 (Acindar S.A.) · VILLA CONSTITUCIÓN · CONSTITUCIÓN · SANTA FE                                              EMPRESA SIDERÚRGICA ACINDAR",-60.3033338,-33.2570087
1023,"SERVICIO PENITENCIARIO FEDERAL","UNIDAD PENAL 4 DE SANTA ROSA (COLONIA PENAL)",FALSE,"PUEYRREDÓN 1099 · SANTA ROSA · CAPITAL · LA PAMPA",-64.2657866,-36.6167198
1024,"HOSPITAL PÚBLICO","HOSPITAL ""DR. LUCIO MOLAS""",FALSE,"RAÚL B. DÍAZ y PILCOMAYO · SANTA ROSA · CAPITAL · LA PAMPA",-64.2897812,-36.5995953
1025,"POLICÍA PROVINCIAL","JEFATURA DE POLICÍA DE LA PROVINCIA DE LA PAMPA",FALSE,"PELLEGRINI 587 · SANTA ROSA · CAPITAL · LA PAMPA",-64.2924538,-36.6229346
1027,"POLICÍA PROVINCIAL","COMISARÍA 3ª DE SANTA FE",FALSE,"LAVALLE 3400 (y BALCARCE) · SANTA FE · LA CAPITAL · SANTA FE",-60.690742,-31.639116
1029,"EJÉRCITO","GRUPO DE ARTILLERÍA DE MONTAÑA 5",FALSE,"Av. BOLIVIA 3803 · SAN SALVADOR DE JUJUY · DR. MANUEL BELGRANO · JUJUY",-65.3590068,-24.1737432
1030,"POLICÍA PROVINCIAL","COMISARÍA DE ZONDA",FALSE,"Ruta Prov. Nº 12 Km 24 · VILLA BASILIO NIEVAS · ZONDA · SAN JUAN",-68.7331257,-31.5489498
1031,"EJÉRCITO (PREDIO MILITAR)","LA MARQUESITA",FALSE,"Av. LIB. GRAL. SAN MARTÍN (O) 8393 · MARQUESADO · RIVADAVIA · SAN JUAN                                                                     CÁMPING Y COMPLEJO DEPORTIVO ""SGTO. CABRAL""",-68.5940558,-31.5294819
1033,"GENDARMERÍA NACIONAL","ESCUADRÓN 51 ""RESISTENCIA"" DE GENDARMERÍA NACIONAL",FALSE,"JULIO A. ROCA 535 · RESISTENCIA · SAN FERNANDO · CHACO",-58.992239,-27.4477817
1034,"HOSPITAL MILITAR ( EJÉRCITO)","HOSPITAL MILITAR ""MENDOZA""",FALSE,"MENDOZA · CAPITAL · MENDOZA",-68.8458386,-32.8894587
1036,"HOSPITAL PÚBLICO","HOSPITAL CENTRAL DE MENDOZA",FALSE,"SALTA y ALEM · MENDOZA · CAPITAL · MENDOZA",-68.834521,-32.8927598
1041,"ESTATAL","PAPAGAYOS / COLONIA DE VACACIONES",FALSE,"PAPAGAYOS · LAS HERAS · MENDOZA",-68.8636878,-32.8649581
1043,"GENDARMERÍA NACIONAL","ESCUADRÓN 30 ""CHOS MALAL"" DE GENDARMERÍA NACIONAL",FALSE,"GRAL. OLASCOAGA 250 · CHOS MALAL · NEUQUÉN",-70.2685393,-37.3784181
1044,"POLICÍA PROVINCIAL","COMISARÍA 5ª DE MORENO (PASO DEL REY)",FALSE,"Av. ALCORTA 219 · PASO DEL REY · MORENO · BUENOS AIRES",-58.7590572,-34.6588336
1045,"ESTATAL","PLANTA TRANSMISORA DE RADIO NACIONAL",FALSE,"TIRASSO y BUENA NUEVA · EL SAUCE · GUAYMALLEN · MENDOZA",-68.7541796,-32.8797125
1046,"POLICÍA FEDERAL","COMISARÍA 8ª DE CAPITAL FEDERAL",FALSE,"GRAL. URQUIZA 540 · Balvanera · CAPITAL FEDERAL",-58.4093602,-34.6170206
1047,"POLICÍA PROVINCIAL","COMISARÍA DE CRUZ DEL EJE",FALSE,"CRUZ DEL EJE · CÓRDOBA",-64.8086431,-30.7218548
1048,"POLICÍA PROVINCIAL","COMISARÍA 3ª DE LOMAS DE ZAMORA (TEMPERLEY)",FALSE,"SANTA MARÍA DE ORO 330 · TEMPERLEY · LOMAS DE ZAMORA · BUENOS AIRES",-58.3953488,-34.7780139
1049,"EJÉRCITO","REGIMIENTO DE INFANTERÍA 5                                                                 UNIDAD DE COMANDO ÁREA 243",FALSE,"PAGO LARGO s/nº · PASO DE LOS LIBRES · CORRIENTES",-57.0829386,-29.7157813
1050,"POLICÍA FEDERAL","COMISARÍA 38ª DE CAPITAL FEDERAL",FALSE,"Av. CNEL. ESTEBAN BONORINO 258 · Flores · CAPITAL FEDERAL",-58.4583038,-34.6309755
1051,"POLICÍA PROVINCIAL","COMISARÍA 3ª DE LA MATANZA (VILLA MADERO)",FALSE,"GRAL. PEDERNERA 947 · CIUDAD MADERO · LA MATANZA · BUENOS AIRES",-58.5037291,-34.6849055
1053,"POLICÍA PROVINCIAL","COMISARÍA DE BRAGADO",FALSE,"BELGRANO 1141 · BRAGADO · BUENOS AIRES",-60.4908318,-35.1146568
1054,"POLICÍA PROVINCIAL","DESTACAMENTO DE GDOR. CASTRO",FALSE,"SAN JUAN s/nº · GDOR. CASTRO · SAN PEDRO · BUENOS AIRES",-59.8685346,-33.6589312
1055,"POLICÍA FEDERAL","COMISARÍA 24ª DE CAPITAL FEDERAL",FALSE,"PINZÓN 456 · La Boca · CAPITAL FEDERAL",-58.3605267,-34.6341535
1056,"POLICÍA FEDERAL","COMISARÍA 31ª DE CAPITAL FEDERAL",FALSE,"Av. CABILDO 232 · Palermo · CAPITAL FEDERAL",-58.439275,-34.5733708
1057,"POLICÍA FEDERAL","COMISARÍA 28ª DE CAPITAL FEDERAL",FALSE,"Av. VÉLEZ SARSFIELD 170 · Barracas · CAPITAL FEDERAL",-58.3900086,-34.6361258
1058,"POLICÍA FEDERAL","COMISARÍA 30ª DE CAPITAL FEDERAL",FALSE,"GRAL. HORNOS 768 (o CALIFORNIA 1850 o sobre Av. IRIARTE) · Barracas · CAPITAL FEDERAL",-58.3766747,-34.6359048
1059,"POLICÍA PROVINCIAL","COMISARÍA DE AYACUCHO",FALSE,"AYACUCHO · BUENOS AIRES",-58.4829712,-37.1502686
1060,"EJÉRCITO (PREDIO MILITAR)","RODEO DEL ALTO (PREDIO CÍRCULO DE SUBOFICIALES DEL EJÉRCITO)",FALSE,"Ruta Prov. Nº 20 (Camino a Juana Koslay) · SAN LUIS · LA CAPITAL · SAN LUIS",-66.2584914,-33.2863356
1061,"POLICÍA PROVINCIAL","COMISARÍA 8ª DE SANTIAGO DEL ESTERO",FALSE,"Av. AGUIRRE (S) 790 · SANTIAGO DEL ESTERO · CAPITAL · SANTIAGO DEL ESTERO",-64.265781,-27.8112697
1062,"GENDARMERÍA NACIONAL","ESCUADRÓN 20 ""ORÁN"" DE GENDARMERÍA NACIONAL",FALSE,"MISIÓN ZENTA s/nº · SAN RAMÓN DE LA NUEVA ORÁN · ORÁN · SALTA",-64.318462,-23.1382409
1063,"PARTICULAR (VIVIENDA O SIMILAR)","CASA OPERATIVA EN CALLE BACACAY",FALSE,"BACACAY 4232 · Vélez Sarsfield · CAPITAL FEDERAL",-58.4868557,-34.6327508
1064,"SERVICIO PENITENCIARIO PROVINCIAL (PREDIO)","QUINCHO DEL ARROYO ZAIMÁN",FALSE,"Av. CABO DE HORNOS (detrás de Cárcel de Encausados) · Miguel Lanús · POSADAS · CAPITAL · MISIONES",-55.9152037,-27.4275801
1065,"HOSPITAL PÚBLICO","HOSPITAL ""DR. RAMÓN MADARIAGA""",FALSE,"Av. LÓPEZ TORRES 1177 · POSADAS · CAPITAL · MISIONES",-55.893275,-27.3904941
1066,"PREFECTURA NAVAL","DESTACAMENTO SANTA ANA DE PREFECTURA",FALSE,"SANTA ANA · CANDELARIA · MISIONES",-55.5817447,-27.3692482
1067,"POLICÍA PROVINCIAL","DESTACAMENTO POLICIAL DE SANTA INÉS",FALSE,"Sobre Ruta Nac. Nº 105 (frente al ingreso del Establecimiento de la familia Núñez) · SANTA INÉS · CAPITAL · MISIONES",-55.858341,-27.527567
1068,"POLICÍA PROVINCIAL","DESTACAMENTO POLICIAL ""PINDAYTÍ""",FALSE,"Colonia Pindaytí · ARISTÓBULO DEL VALLE · CAINGUÁS · MISIONES",-54.6868086,-27.3120972
1069,"PARTICULAR (VIVIENDA O SIMILAR)","LA INTERMEDIA",FALSE,"Autopista Rosario-Santa Fe (frente a estación de servicio ACA) · Villa La Ribera · TIMBÚES · SAN LORENZO · SANTA FE",-60.8180591,-32.6376562
1070,"ESTABLECIMIENTO EDUCATIVO","ESCUELA ""OSVALDO MAGNASCO""",FALSE,"Av. OVIDIO LAGOS 1502 (y E. ZEBALLOS) · ROSARIO · SANTA FE",-60.6637567,-32.9509467
1071,"EJÉRCITO","COMANDO DE BRIGADA DE INFANTERÍA AEROTRANSPORTADA IV                                                                  UNIDAD DE COMANDO ÁREA 311",FALSE,"CÓRDOBA · CAPITAL · CÓRDOBA",-64.1887761,-31.4200833
1072,"POLICÍA PROVINCIAL","LA CASITA DEL ROWING",FALSE,"A la vera de Arroyo Zaimán (actualmente bajo agua por reconstrucción costera) · Barrio Rowing · POSADAS · CAPITAL · MISIONES",-55.8940107,-27.4066327
1073,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE ALTA GRACIA",FALSE,"ALTA GRACIA · SANTA MARÍA · CÓRDOBA",-64.4273429,-31.6584428
1074,"EJÉRCITO","BATALLÓN DE ARSENALES 121                                                                                                  UNIDAD DE COMANDO ÁREA 211",FALSE,"Ruta Nac. Nº 11 s/nº · FRAY LUIS BELTRÁN · SAN LORENZO · SANTA FE",-60.7108828,-32.8339032
1077,"POLICÍA PROVINCIAL","COMISARÍA 14ª DE CUTRAL CO",FALSE,"CARLOS H. RODRÍGUEZ 230 · CUTRAL CO · CONFLUENCIA · NEUQUÉN",-69.2315198,-38.9338248
1078,"SERVICIO PENITENCIARIO PROVINCIAL","UNIDAD PENITENCIARIA 1 DE PARANÁ (""CASA DEL DIRECTOR"")",FALSE,"PARANÁ · ENTRE RÍOS",-60.5115471,-31.7413197
1079,"POLICÍA PROVINCIAL","COMISARÍA DE LA TOMA",FALSE,"LA TOMA · CNEL. PRINGLES · SAN LUIS",-65.6174943,-33.0548161
1080,"POLICÍA PROVINCIAL","LA ESCUELITA (EX COMISARÍA 2ª)",FALSE,"Av. JUSTO DARACT 1408 (entre Av. ESPAÑA y EJÉRCITO DE LOS ANDES) · SAN LUIS · LA CAPITAL · SAN LUIS",-66.3362775,-33.2924381
1081,"PREFECTURA NAVAL","PREFECTURA BAHÍA BLANCA",FALSE,"Av. TEÓFILO SALUSTIO entre GUARDACOSTAS RÍO IGUAZÚ y GUARDACOSTAS ISLAS MALVINAS · ING. WHITE · BAHÍA BLANCA · BUENOS AIRES",-62.273144,-38.7886169
1082,"ARMADA","POLICÍA DE ESTABLECIMIENTOS NAVALES (BASE NAVAL ""PUERTO BELGRANO"")",FALSE,"Av. COLÓN al 100 _ ""Sector lindero al Puesto Nº 1"" _ Base Naval de Puerto Belgrano · PUERTO BELGRANO · CNEL. DE MARINA L. ROSALES · BUENOS AIRES",-62.096344,-38.884715
1083,"POLICÍA PROVINCIAL","COMISARÍA 12ª DE VOLCÁN",FALSE,"VOLCÁN · TUMBAYA · JUJUY",-65.4666467,-23.9160386
1084,"POLICÍA PROVINCIAL","DESTACAMENTO DE TUMBAYA",FALSE,"TUMBAYA · JUJUY",-65.4675856,-23.8577193
1085,"EJÉRCITO","ESCUELA DE INSTRUCCIÓN ANDINA                                                       UNIDAD DE COMANDO ÁREA 524",FALSE,"Av. EXEQUIEL BUSTILLO Km 9/500 · SAN CARLOS DE BARILOCHE · BARILOCHE · RÍO NEGRO",-71.5312582,-41.0576342
1086,"POLICÍA PROVINCIAL","COMISARÍA 2ª DE SAN CARLOS DE BARILOCHE",FALSE,"Centro Cívico · SAN CARLOS DE BARILOCHE · BARILOCHE · RÍO NEGRO",-71.3102123,-41.133496
1087,"EJÉRCITO","BATALLÓN DE INGENIEROS DE CONSTRUCCIONES 181                                                                                     UNIDAD DE COMANDO ÁREA 521",FALSE,"Ruta Nac. Nº 22 s/nº · NEUQUÉN · CONFLUENCIA · NEUQUÉN",-68.058706,-38.9594877
1088,"POLICÍA FEDERAL","DELEGACIÓN ""JUJUY"" DE LA POLICÍA FEDERAL",FALSE,"CANÓNIGO GORRITI 259 · SAN SALVADOR DE JUJUY · DR. MANUEL BELGRANO · JUJUY",-65.298609,-24.185598
1089,"POLICÍA PROVINCIAL","COMISARÍA 22ª DE YUTO",FALSE,"SÁNCHEZ DE BUSTAMANTE s/nº · YUTO · LEDESMA · JUJUY",-64.4765383,-23.6391207
1090,"POLICÍA PROVINCIAL","COMISARÍA DE USHUAIA",FALSE,"USHUAIA · TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",-68.3029511,-54.8019121
1091,"POLICÍA PROVINCIAL","DIVISIÓN DE INVESTIGACIONES DE LA POLICÍA DE CATAMARCA",FALSE,"TUCUMÁN y CHACABUCO · SAN FDO. DEL VALLE DE CATAMARCA · CAPITAL · CATAMARCA",-65.774338,-28.470514
1092,"POLICÍA PROVINCIAL","COMISARÍA 2ª DE BAHÍA BLANCA",FALSE,"ROCA 557 · BAHÍA BLANCA · BUENOS AIRES",-62.2779022,-38.7205125
1093,"POLICÍA PROVINCIAL","COMISARÍA DE OLTA",FALSE,"OLTA · GRAL. BELGRANO · LA RIOJA",-66.2636404,-30.6295532
1094,"POLICÍA PROVINCIAL","COMISARÍA 5ª DE SANTIAGO DEL ESTERO",FALSE,"ALFONSO QUINZIO 3 · SANTIAGO DEL ESTERO · CAPITAL · SANTIAGO DEL ESTERO",-64.2769748,-27.7772799
1095,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE SANTIAGO DEL ESTERO",FALSE,"Av. ROCA (N) 1032 (ubicación aproximada en mapa) · SANTIAGO DEL ESTERO · CAPITAL · SANTIAGO DEL ESTERO",-64.2695692,-27.7696455
1096,"EJÉRCITO","DESTACAMENTO DE EXPLORACIÓN DE CABALLERÍA DE MONTAÑA 141 (C5)                                     UNIDAD DE COMANDO ÁREA 322",FALSE,"SALTA · CAPITAL · SALTA",-65.4231976,-24.7821269
1097,"POLICÍA PROVINCIAL","COMISARÍA DE EL BOLSÓN",FALSE,"EL BOLSÓN · BARILOCHE · RÍO NEGRO",-71.319013,-41.1565437
1098,"GENDARMERÍA NACIONAL","ESCUADRÓN 35 ""EL BOLSÓN"" DE GENDARMERÍA NACIONAL",FALSE,"Ruta Nac. Nº 40 y LAS HERAS · EL BOLSÓN · BARILOCHE · RÍO NEGRO",-68.5148934,-31.5339718
1099,"GENDARMERÍA NACIONAL","ESCUADRÓN 34 ""BARILOCHE"" DE GENDARMERÍA NACIONAL",FALSE,"MÑOR. FAGNANO 551 · SAN CARLOS DE BARILOCHE · BARILOCHE · RÍO NEGRO",-71.3032742,-41.1418018
1100,"POLICÍA PROVINCIAL","COMISARÍA DE PLOTTIER",FALSE,"PLOTTIER · CONFLUENCIA · NEUQUÉN",-68.22885,-38.9475672
1101,"SERVICIO PENITENCIARIO PROVINCIAL","ALCAIDÍA DE NEUQUÉN",FALSE,"MTRO. JOAQUÍN GONZÁLEZ y CÓRDOBA · NEUQUÉN · CONFLUENCIA · NEUQUÉN",-68.0548228,-38.9518998
1102,"POLICÍA PROVINCIAL","JEFATURA DE POLICÍA DE LA PROVINCIA DE NEUQUÉN",FALSE,"MTRO. JOAQUÍN GONZÁLEZ y MENDOZA o TTE. GRAL. PABLO RICCHIERI 775 · NEUQUÉN · CONFLUENCIA · NEUQUÉN",-68.0548228,-38.9518998
1103,"EJÉRCITO","COMANDO DE BRIGADA DE INFANTERÍA DE MONTAÑA VI                                                                                UNIDAD DE COMANDO SUBZONA 52",FALSE,"Av. ARGENTINA 642 · NEUQUÉN · CONFLUENCIA · NEUQUÉN",-68.0592668,-38.9481733
1104,"EJÉRCITO","COMPAÑÍA DE COMUNICACIONES DE MONTAÑA 6",FALSE,"JUAN JULIÁN LASTRA 2700 · NEUQUÉN · CONFLUENCIA · NEUQUÉN",-68.0967594,-38.9599213
1105,"EJÉRCITO","GRUPO DE ARTILLERÍA DE MONTAÑA 6                                    UNIDAD DE COMANDO ÁREA 523",FALSE,"Ruta Nac. Nº 234 s/nº · JUNÍN DE LOS ANDES · HUILICHES · NEUQUÉN",-65.5995798,-22.1055695
1106,"POLICÍA PROVINCIAL","COMISARÍA DE PLAZA HUINCUL",FALSE,"PLAZA HUINCUL · CONFLUENCIA · NEUQUÉN",-69.2034404,-38.9308121
1107,"HOSPITAL PÚBLICO","HOSPITAL RURAL DE CUTRAL CO",FALSE,"SÁENZ PEÑA y ALBERDI · CUTRAL CO · CONFLUENCIA · NEUQUÉN",-69.2311944,-38.9398372
1108,"SERVICIO PENITENCIARIO FEDERAL","UNIDAD PENAL 5 DE GRAL. ROCA",FALSE,"BUENOS AIRES s/nº · GRAL. ROCA · RÍO NEGRO",-67.5892227,-39.032803
