"ID","lugar_emplazamiento_propiedad","denominacion","espacio_de_memoria","ubicacion","lon","lat"
632,"POLICÍA FEDERAL","DELEGACIÓN ""CÓRDOBA"" DE LA POLICÍA FEDERAL",FALSE,"HIPÓLITO YRIGOYEN 493 · Nueva Córdoba · CÓRDOBA · CAPITAL · CÓRDOBA",-64.1856287,-31.4264507
634,"HOSPITAL MILITAR ( EJÉRCITO)","HOSPITAL MILITAR ""CORRIENTES""",FALSE,"Av. 3 DE ABRIL y Av. COSTANERA · CORRIENTES · CAPITAL · CORRIENTES",-58.835551,-27.476273
635,"POLICÍA FEDERAL","DELEGACIÓN ""ROSARIO"" DE LA POLICÍA FEDERAL",FALSE,"9 DE JULIO 233 · ROSARIO · SANTA FE",-60.6278766,-32.9561008
636,"POLICÍA PROVINCIAL","COMISARÍA 9ª DE CÓRDOBA",FALSE,"Av. CASTRO BARROS 766 · San Martín · CÓRDOBA · CAPITAL · CÓRDOBA",-64.1983019,-31.3981594
637,"POLICÍA PROVINCIAL","JEFATURA DE POLICÍA DE SAN FRANCISCO",FALSE,"SAN FRANCISCO · SAN JUSTO · CÓRDOBA",-62.0841599,-31.4249992
640,"POLICÍA FEDERAL","DELEGACIÓN ""POSADAS"" DE LA POLICÍA FEDERAL",FALSE,"AYACUCHO 578 (actualmente Nº 2360) · POSADAS · CAPITAL · MISIONES",-55.8968837,-27.3675946
642,"EJÉRCITO","COMANDO DE ARTILLERÍA 141 / GRUPO DE ARTILLERÍA DE DEFENSA AÉREA 141                                                                                  UNIDAD DE COMANDO ÁREA 333",FALSE,"SAN LUIS · LA CAPITAL · SAN LUIS",-66.3377522,-33.3017267
644,"POLICÍA PROVINCIAL","COMISARÍA 25ª DE LA ESPERANZA",FALSE,"LA ESPERANZA · SAN PEDRO · JUJUY",-64.8474693,-24.2341477
645,"SERVICIO PENITENCIARIO PROVINCIAL","UNIDAD PENAL DE CATAMARCA",FALSE,"GÜEMES y VIRGEN DEL VALLE · SAN FDO. DEL VALLE DE CATAMARCA · CAPITAL · CATAMARCA",-65.786636,-28.4764658
647,"POLICÍA PROVINCIAL","COMISARÍA 4ª DE SAN MARTÍN (JOSÉ LEÓN SUÁREZ)",FALSE,"BRIG. GRAL. JUAN M. DE ROSAS y BALLESTER · JOSÉ LEÓN SUÁREZ · GRAL. SAN MARTÍN · BUENOS AIRES",-58.5747525,-34.5300224
648,"POLICÍA PROVINCIAL","JEFATURA DEPARTAMENTAL DE POLICÍA DE DIAMANTE",FALSE,"EVA PERÓN 258 · DIAMANTE · ENTRE RÍOS",-60.64298,-32.0674637
649,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE PARANÁ",FALSE,"TUCUMÁN 55/57 · PARANÁ · ENTRE RÍOS",-60.5354907,-31.7297216
650,"POLICÍA FEDERAL","DELEGACIÓN ""FORMOSA"" DE LA POLICÍA FEDERAL",FALSE,"PADRE PATIÑO 702 · FORMOSA · FORMOSA",-58.1701637,-26.1826228
651,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE FLORENCIO VARELA",FALSE,"Av. SAN MARTÍN 425 · FLORENCIO VARELA · BUENOS AIRES",-58.2974305,-34.7586084
652,"POLICÍA PROVINCIAL","COMISARÍA DE TARTAGAL",FALSE,"TARTAGAL · GRAL. JOSÉ DE SAN MARTÍN · SALTA",-63.8056084,-22.5167622
653,"POLICÍA FEDERAL","DELEGACIÓN ""CORRIENTES"" DE LA POLICÍA FEDERAL",FALSE,"PLÁCIDO MARTÍNEZ 750 · CORRIENTES · CAPITAL · CORRIENTES",-58.8407031,-27.4615971
657,"POLICÍA PROVINCIAL","UNIDAD REGIONAL DE JUNÍN",FALSE,"PRES. QUINTANA y GANDINI · JUNÍN · BUENOS AIRES",-60.9436493,-34.5911525
658,"EJÉRCITO","SANTO DOMINGO (CAMPO DE MANIOBRAS)",FALSE,"SANTO DOMINGO · ROBLES · SANTIAGO DEL ESTERO                                                                  CAMPO DE ENTRENAMIENTO MILITAR ""CNEL. LORENZO LUGONES""",NA,NA
659,"PARTICULAR (VIVIENDA O SIMILAR)","LA GUARIDA",FALSE,"Ex barrio militar _ Campo militar ""Cnel. Holmberg"" · La Guarida · LA BANDA · BANDA · SANTIAGO DEL ESTERO",-64.2437523,-27.7358357
660,"ESTATAL","ESTANCIA ""LA ARMONÍA"" / POZO DE ARANA",FALSE,"Calle 137 y 630 · ARANA · LA PLATA · BUENOS AIRES",-57.905426,-34.9993127
661,"ARMADA","ESCUELA NAVAL MILITAR DE RÍO SANTIAGO",FALSE,"ISLA SANTIAGO · ENSENADA · BUENOS AIRES",-57.9123671,-34.8348435
663,"ESTABLECIMIENTO PRIVADO","CLUB SIDERCA",FALSE,"Parque Industrial de Campana _ instalaciones propiedad de la empresa Dálmine-Siderca S.A.I.C. · CAMPANA · BUENOS AIRES",-58.9220935,-34.2026882
665,"POLICÍA PROVINCIAL","SUBCOMISARÍA DE LA SALADA",FALSE,"""Inmed. de zona de piletas"" · La Salada · CIUDAD MADERO · LA MATANZA · BUENOS AIRES                                             DEPTE. DE COMISARÍA DE CIUDAD MADERO",-58.4735942,-34.7197223
666,"PARTICULAR (VIVIENDA O SIMILAR)","CASA EN CALLE BRASIL",FALSE,"BRASIL 1324 · PASO DE LOS LIBRES · CORRIENTES",-57.09246,-29.7114348
667,"POLICÍA FEDERAL","DELEGACIÓN ""MAR DEL PLATA"" DE LA POLICÍA FEDERAL",FALSE,"SARMIENTO 2551 · MAR DEL PLATA · GRAL. PUEYRREDÓN · BUENOS AIRES",-57.5426992,-38.0112557
