"","ID","lugar_emplazamiento_propiedad","denominacion","espacio_de_memoria","ubicacion","lon","lat"
"547",997,"EJÉRCITO","COMPAÑÍA DE TELECOMUNICACIONES 121                                                            UNIDAD DE COMANDO ÁREA 235",FALSE,"Av. SARMIENTO y Av. CAAGUAZÚ · GOYA · CORRIENTES",-59.2726669,-29.1543765
"548",998,"EJÉRCITO","COMPAÑÍA DE INGENIEROS 7",FALSE,"Av. SARMIENTO y Av. CAAGUAZÚ · GOYA · CORRIENTES",-59.2726669,-29.1543765
"549",999,"POLICÍA PROVINCIAL","COMISARÍA DE SIERRA GRANDE",FALSE,"SIERRA GRANDE · SAN ANTONIO · RÍO NEGRO",-65.3564268,-41.6061015
"550",1000,"POLICÍA PROVINCIAL","ESCUELA DE CADETES DE POLICÍA",FALSE,"Ruta Prov. Nº 51 (camino al Aeropuerto) · VIEDMA · ADOLFO ALSINA · RÍO NEGRO",NA,NA
"551",1001,"SIN ESTABLECER PROPIEDAD","LA ATÓMICA",FALSE,"EZEIZA (ex E. ECHEVERRÍA) · BUENOS AIRES",-58.5199121,-34.8514476
"552",1002,"POLICÍA PROVINCIAL","DIRECCIÓN DE INVESTIGACIONES DE LA POLICÍA DEL CHACO",FALSE,"JUAN B. JUSTO 473 · RESISTENCIA · SAN FERNANDO · CHACO",-58.9831483,-27.4554429
"553",1003,"EJÉRCITO","GRUPO DE ARTILLERÍA 7                                                                                                    UNIDAD DE COMANDO ÁREA 233",FALSE,"Av. 9 DE JULIO 3300 · RESISTENCIA · SAN FERNANDO · CHACO",-58.953507,-27.4807449
"554",1004,"POLICÍA PROVINCIAL","JEFATURA DE POLICÍA DE LA PROVINCIA DEL CHACO",FALSE,"Av. 25 DE MAYO 1410 · RESISTENCIA · SAN FERNANDO · CHACO",-58.9989721,-27.43961
"555",1005,"PARTICULAR (VIVIENDA O SIMILAR)","CASA SOBRE RÍO PARANÁ",FALSE,"Sobre la costa del río, a 1 km aprox. de Puente Gral. Belgrano · BARRANQUERAS · SAN FERNANDO · CHACO",-58.9298836,-27.4885091
"556",1007,"HOSPITAL MILITAR ( EJÉRCITO)","HOSPITAL MILITAR ""PARANÁ""",FALSE,"Av. EJÉRCITO 2157 · PARANÁ · ENTRE RÍOS",-60.5367633,-31.7474812
"557",1008,"HOSPITAL PÚBLICO","HOSPITAL ""DR. JULIO C. PERRANDO""",FALSE,"Av. 9 DE JULIO 1100 · RESISTENCIA · SAN FERNANDO · CHACO",-58.9769156,-27.4597908
"558",1009,"HOSPITAL PÚBLICO","HOSPITAL PARA LA MADRE Y EL NIÑO",FALSE,"JUAN D. PERÓN 330 · RESISTENCIA · SAN FERNANDO · CHACO",-58.9907442,-27.4499277
"559",1010,"FUERZA AÉREA","BASE AÉREA MILITAR ""CHAMICAL""",FALSE,"CHAMICAL · LA RIOJA",-66.3140926,-30.361165
"560",1011,"EJÉRCITO","DESTACAMENTO DE INTELIGENCIA 141 ""GRAL. IRIBARREN""",FALSE,"Av. PABLO RICCHIERI _ Parque Sarmiento · CÓRDOBA · CAPITAL · CÓRDOBA",-64.1804649,-31.4299763
"561",1012,"POLICÍA PROVINCIAL","COMISARÍA DE AIMOGASTA",FALSE,"AIMOGASTA · ARAUCO · LA RIOJA",-66.8151707,-28.5507672
"562",1013,"GENDARMERÍA NACIONAL","ESCUADRÓN 24 ""CHILECITO"" DE GENDARMERÍA NACIONAL",FALSE,"LA PLATA 726 · CHILECITO · LA RIOJA",-67.5039107,-29.1603314
"563",1014,"POLICÍA PROVINCIAL","COMISARÍA DE CHILECITO",FALSE,"CHILECITO · LA RIOJA",-67.4962016,-29.1611279
"564",1015,"POLICÍA PROVINCIAL","COMISARÍA DE CAMPANAS",FALSE,"CAMPANAS · FAMATINA · LA RIOJA",-67.6259883,-28.5528196
"565",1016,"POLICÍA PROVINCIAL","COMISARÍA DE VILLA UNIÓN",FALSE,"NICOLÁS DAVILA S/N (esq. JOAQUÍN V. GONZÁLEZ) · VILLA UNIÓN · CNEL. FELIPE VARELA · LA RIOJA",-68.2272303,-29.3180336
"566",1017,"POLICÍA PROVINCIAL","COMISARÍA DE CHAMICAL",FALSE,"CHAMICAL · LA RIOJA",-66.3140926,-30.361165
"567",1018,"POLICÍA PROVINCIAL","DESTACAMENTO POLICIAL DE SIERRA DE LOS QUINTEROS",FALSE,"SIERRA DE LOS QUINTEROS · GRAL. ÁNGEL V. PEÑALOZA · LA RIOJA",-66.442128,-30.6347797
"568",1019,"ESTABLECIMIENTO EDUCATIVO","ESCUELA DE SIERRA DE LOS QUINTEROS",FALSE,"SIERRA DE LOS QUINTEROS · GRAL. ÁNGEL V. PEÑALOZA · LA RIOJA",-66.442128,-30.6347797
"569",1020,"POLICÍA PROVINCIAL","COMISARÍA DE SAN BLAS",FALSE,"SAN BLAS · SAN BLAS DE LOS SAUCES · LA RIOJA",-67.0875864,-28.4047845
"570",1022,"POLICÍA FEDERAL","DESTACAMENTO DE POLICÍA FEDERAL DE ACINDAR",FALSE,"Ruta Prov. Nº 21 4855 (Acindar S.A.) · VILLA CONSTITUCIÓN · CONSTITUCIÓN · SANTA FE                                              EMPRESA SIDERÚRGICA ACINDAR",-60.3033338,-33.2570087
"571",1023,"SERVICIO PENITENCIARIO FEDERAL","UNIDAD PENAL 4 DE SANTA ROSA (COLONIA PENAL)",FALSE,"PUEYRREDÓN 1099 · SANTA ROSA · CAPITAL · LA PAMPA",-64.2657866,-36.6167198
"572",1024,"HOSPITAL PÚBLICO","HOSPITAL ""DR. LUCIO MOLAS""",FALSE,"RAÚL B. DÍAZ y PILCOMAYO · SANTA ROSA · CAPITAL · LA PAMPA",-64.2897812,-36.5995953
"573",1025,"POLICÍA PROVINCIAL","JEFATURA DE POLICÍA DE LA PROVINCIA DE LA PAMPA",FALSE,"PELLEGRINI 587 · SANTA ROSA · CAPITAL · LA PAMPA",-64.2924538,-36.6229346
"574",1027,"POLICÍA PROVINCIAL","COMISARÍA 3ª DE SANTA FE",FALSE,"LAVALLE 3400 (y BALCARCE) · SANTA FE · LA CAPITAL · SANTA FE",-60.690742,-31.639116
"575",1029,"EJÉRCITO","GRUPO DE ARTILLERÍA DE MONTAÑA 5",FALSE,"Av. BOLIVIA 3803 · SAN SALVADOR DE JUJUY · DR. MANUEL BELGRANO · JUJUY",-65.3590068,-24.1737432
"576",1030,"POLICÍA PROVINCIAL","COMISARÍA DE ZONDA",FALSE,"Ruta Prov. Nº 12 Km 24 · VILLA BASILIO NIEVAS · ZONDA · SAN JUAN",-68.7331257,-31.5489498
"577",1031,"EJÉRCITO (PREDIO MILITAR)","LA MARQUESITA",FALSE,"Av. LIB. GRAL. SAN MARTÍN (O) 8393 · MARQUESADO · RIVADAVIA · SAN JUAN                                                                     CÁMPING Y COMPLEJO DEPORTIVO ""SGTO. CABRAL""",-68.5940558,-31.5294819
"578",1033,"GENDARMERÍA NACIONAL","ESCUADRÓN 51 ""RESISTENCIA"" DE GENDARMERÍA NACIONAL",FALSE,"JULIO A. ROCA 535 · RESISTENCIA · SAN FERNANDO · CHACO",-58.992239,-27.4477817
"579",1034,"HOSPITAL MILITAR ( EJÉRCITO)","HOSPITAL MILITAR ""MENDOZA""",FALSE,"MENDOZA · CAPITAL · MENDOZA",-68.8458386,-32.8894587
"580",1036,"HOSPITAL PÚBLICO","HOSPITAL CENTRAL DE MENDOZA",FALSE,"SALTA y ALEM · MENDOZA · CAPITAL · MENDOZA",-68.834521,-32.8927598
"581",1041,"ESTATAL","PAPAGAYOS / COLONIA DE VACACIONES",FALSE,"PAPAGAYOS · LAS HERAS · MENDOZA",-68.8636878,-32.8649581
"582",1043,"GENDARMERÍA NACIONAL","ESCUADRÓN 30 ""CHOS MALAL"" DE GENDARMERÍA NACIONAL",FALSE,"GRAL. OLASCOAGA 250 · CHOS MALAL · NEUQUÉN",-70.2685393,-37.3784181
"583",1044,"POLICÍA PROVINCIAL","COMISARÍA 5ª DE MORENO (PASO DEL REY)",FALSE,"Av. ALCORTA 219 · PASO DEL REY · MORENO · BUENOS AIRES",-58.7590572,-34.6588336
"584",1045,"ESTATAL","PLANTA TRANSMISORA DE RADIO NACIONAL",FALSE,"TIRASSO y BUENA NUEVA · EL SAUCE · GUAYMALLEN · MENDOZA",-68.7541796,-32.8797125
"585",1046,"POLICÍA FEDERAL","COMISARÍA 8ª DE CAPITAL FEDERAL",FALSE,"GRAL. URQUIZA 540 · Balvanera · CAPITAL FEDERAL",-58.4093602,-34.6170206
"586",1047,"POLICÍA PROVINCIAL","COMISARÍA DE CRUZ DEL EJE",FALSE,"CRUZ DEL EJE · CÓRDOBA",-64.8086431,-30.7218548
"587",1048,"POLICÍA PROVINCIAL","COMISARÍA 3ª DE LOMAS DE ZAMORA (TEMPERLEY)",FALSE,"SANTA MARÍA DE ORO 330 · TEMPERLEY · LOMAS DE ZAMORA · BUENOS AIRES",-58.3953488,-34.7780139
"588",1049,"EJÉRCITO","REGIMIENTO DE INFANTERÍA 5                                                                 UNIDAD DE COMANDO ÁREA 243",FALSE,"PAGO LARGO s/nº · PASO DE LOS LIBRES · CORRIENTES",-57.0829386,-29.7157813
"589",1050,"POLICÍA FEDERAL","COMISARÍA 38ª DE CAPITAL FEDERAL",FALSE,"Av. CNEL. ESTEBAN BONORINO 258 · Flores · CAPITAL FEDERAL",-58.4583038,-34.6309755
"590",1051,"POLICÍA PROVINCIAL","COMISARÍA 3ª DE LA MATANZA (VILLA MADERO)",FALSE,"GRAL. PEDERNERA 947 · CIUDAD MADERO · LA MATANZA · BUENOS AIRES",-58.5037291,-34.6849055
"591",1053,"POLICÍA PROVINCIAL","COMISARÍA DE BRAGADO",FALSE,"BELGRANO 1141 · BRAGADO · BUENOS AIRES",-60.4908318,-35.1146568
